Hari,Keterangan,Waktu,Lokasi,Username,Pesan,Type,Duration
Selasa,Hadir,2026-04-14 19:49:20,"(3.5883899870403706, 98.69056274509182)",user1,,IN,
Selasa,Hadir,2026-04-14 19:50:09,"(3.5883899870403706, 98.69056274509182)",user1,,OUT,0.01 jam
Selasa,Hadir,2026-04-14 19:50:24,"(3.5883899870403706, 98.69056274509182)",user1,,IN,
Selasa,Hadir,2026-04-14 19:50:31,"(3.5883899870403706, 98.69056274509182)",user1,,OUT,0.00 jam
Kamis,Hadir,2026-04-16 17:22:19,"(3.5883586936082605, 98.69057343215216)",user1,,IN,
Kamis,Hadir,2026-04-16 17:22:26,"(3.5883586936082605, 98.69057343215216)",user1,,OUT,0.00 jam
